Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Abilities - Elle","Abilities|Elle","ElleSlideJumpGainBonus","Slide-Jump GAIN Bonus (fraction of the gain, not the multiplier) [v18 §2: 0.446875 -> 0.625]","0.4","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""+40% on well-timed slide-jump momentum boosts"". *** IT SCALES THE GAIN, NOT THE WHOLE MULTIPLIER. *** Everyone's well-timed slide jump is x1.446875 today, which is 1 + 0.446875 of GAIN. +40% of the gain is 0.446875 x 1.40 = 0.625, so Elle's is x1.625. Scaling the whole multiplier instead would give x2.025 - an ability more than twice the size of the one asked for. That reading is not invented here: it is how ... [allowed range: 0.0 to 3.0]"
"Abilities - Elle","Abilities|Elle","ElleSnapSecondGateWindowSeconds","Snap: Second-Gate Window (s) [v18 §2: 4]","4","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""she may reactivate within 4 s to place a second gate"". No second gate and the first expires. [allowed range: 0.25 to 30.0]"
"Abilities - Elle","Abilities|Elle","ElleSnapPairLifetimeSeconds","Snap: Pair Lifetime (s) [v18 §2: 8]","8","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""with both placed, both expire after 8 s"". The clock starts when the PAIR completes. [allowed range: 0.5 to 60.0]"
"Abilities - Elle","Abilities|Elle","ElleSnapGateRadiusUU","Snap: Gate Radius (uu)","130","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How close to a gate counts as stepping into it. Sized like Rocco's ripple entry (140 uu). [allowed range: 20.0 to 1000.0]"
"Abilities - Elle","Abilities|Elle","ElleSnapTeleportLockoutSeconds","Snap: Re-Entry Lockout (s) [a backstop since Demo 17; the step-in edge is the rule]","1","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds a player who has just teleported is ignored by BOTH gates. SINCE DEMO 17 THIS IS THE BACKSTOP AND NOT THE MECHANISM. A gate now fires on the frame somebody STEPS IN - an edge, not a proximity poll (see ATraceElleGate::InsideLastLook) - so an arrival is no longer an entry and standing in a mouth does nothing at all. That is what stops the pair being a trap; before it, this lockout was the only thing between a ... [allowed range: 0.0 to 10.0]"
"Abilities - Elle","Abilities|Elle","bElleSnapUsableByBothTeams","Snap: Usable By BOTH Teams [v18 §2 ASSUMPTION - the most reversible call in the doc]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","*** THE §2 [ASSUMPTION] THE USER IS MOST LIKELY TO REVERSE, AND §2 SAYS SO ITSELF. *** §2 verbatim: ""'allowing players to teleport' means ANY player, both teams - it says players, not teammates, and Rocco's Ripple set the precedent that a placed thing is usable by everyone. Flag it prominently; it is the most reversible-by-them decision in this doc."" True (shipped) = either team may use either gate. False = Elle's ..."
"Abilities - Elle","Abilities|Elle","bElleSnapCarrierMayUseGate","Snap: A Carrier May Use A Gate VOLUNTARILY (an ENEMY gate can never move one) [v18 §2]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","May a CORE CARRIER step through a gate on purpose? *** THIS KNOB IS ONLY ABOUT THE VOLUNTARY CASE. *** A carrier being MOVED by an enemy gate is ETraceAbilityEffect::Control applied to a carrier, and UTraceAbilityComponent::CanAffectTarget already refuses that while the §4 [ASSUMPTION] stands - no knob, no exception, and nothing in Elle's file should re-implement the test. §2 is explicit: ""a Core carrier must not be ..."
"Abilities - Elle","Abilities|Elle","ElleSnapCooldownSeconds","Snap Cooldown (s) [v18 §2: 35]","35","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""35 s cooldown"". The card prints this too - Trace.VerifyCharacterData compares the pair. [allowed range: 0.0 to 180.0]"
"Abilities - Elle","Abilities|Elle","ElleSnapMinimumMouthSeparationUU","Snap: Minimum Distance Between The Two Mouths (uu, 0 = allow both on one spot)","260","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","DEMO 17 item 1. How far the SECOND mouth must be from the first, in uu, before Snap will accept it. Below this the reactivation is refused, is charged NOTHING, and the 4 s window keeps running so she can step away and finish the cast. *** THIS IS HALF OF ""IT DOESN'T WORK AT ALL"", AND IT IS THE HALF A PLAYER CAUSES THEMSELVES. *** A player whose first press seems to do nothing presses again immediately, standing ... [allowed range: 0.0 to 2000.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimeballWallStickMaxSurfaceNormalZ","Wall Stick: max |normal.Z| (0.70 = the walkable limit)","0.7","cos, -1 to 1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","THE WALL TEST for the stick: largest |Normal.Z| a surface may have and still be a wall. 0.70 is cos(45 degrees), the walkable floor limit, so the rule reads exactly ""if he cannot stand on it, he can stick to it"". That is the same value and the same argument as MaceSpikeMaxSurfaceNormalZ - and it is a SEPARATE knob for the same reason that one is separate from WallJumpMaxNormalZ (0.40): the wall jump's threshold is a ... [allowed range: 0.0 to 1.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimeballWallStickRangeUU","Wall Stick: Reach (uu)","90","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How close to a wall he must be for hold-V to grab it. The capsule's own radius is 34 uu. [allowed range: 10.0 to 500.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimeballWallStickSlideSpeed","Wall Stick: Slide Speed (uu/s, 0 = fully stuck)","0","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How fast he creeps down the wall while stuck. 0 = welded in place, which is what ""sticks to walls"" says; a small positive value is the classic slide if being motionless proves too safe. [allowed range: 0.0 to 2000.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimeballWallStickMaxSeconds","Wall Stick: Max Duration (s, 0 = while held; UNSPECIFIED in §2)","0","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Hard cap on one stick. §2 gives none, so the shipped value is 0 = as long as V is held. A knob rather than a literal for the same reason MaceSuspendCooldownSeconds is one: ""he can hang on a wall indefinitely, firing 30% faster and taking 30% less"" is exactly the kind of thing a playtest reverses, and reversing it should be a number rather than a pass. [allowed range: 0.0 to 60.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimeballWallStickCooldownSeconds","Wall Stick: Cooldown (s, 0 = none; UNSPECIFIED in §2)","0","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Cooldown between sticks. §2 gives none; 0 ships, exactly as Mace's suspend does. [allowed range: 0.0 to 60.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimeballWallJumpRestickLockoutSeconds","Wall Stick: Re-Grab Lockout After A Wall Jump (s) [Demo 17]","0.35","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","DEMO 17 item 2, verbatim: ""Slimeball should be able to cancel the wall stick with jump, and perform a wall jump off the wall."" How long after that jump he may NOT grab the same wall again, in seconds. Nothing to do with the ordinary stick cooldown above: this exists only so that a player who is still HOLDING V - which everyone is, because the stick is a hold - does not have the 20 Hz re-stick sweep glue him straight ... [allowed range: 0.0 to 3.0]"
"Abilities - Slimeball","Abilities|Slimeball","bSlimeballWallStickJumpLaunches","Wall Stick: Jump Performs A WALL JUMP (off = jump only lets go) [Demo 17]","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","DEMO 17 item 2. Whether the jump that cancels the stick launches him off the wall at all. True (shipped) = jump is a real wall jump: he leaves along the surface normal with the shipped wall-jump numbers. False = jump merely lets go and he falls, which is the smaller reading of the same sentence and one tick box away."
"Abilities - Slimeball","Abilities|Slimeball","SlimeballStuckFireRateBonus","Stuck: Fire Rate Bonus (fraction; DIVIDES Fire Interval) [v18 §2: 0.30]","0.3","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""+30% fire rate"" WHILE STUCK ONLY. A RATE bonus over a PERIOD knob, like Roxie's: FireInterval is divided by (1 + this), so 0.3158 s becomes 0.2429 s - 190 RPM becomes 247. Multiplying instead would slow him down while claiming to speed him up. RELATIVE BY CONSTRUCTION (spec v24 §0), exactly like RoxieModdedFireRateMultiplier: it is a FRACTION of the base, never an interval or an RPM, so the 150 -> 190 pass ... [allowed range: 0.0 to 3.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimeballStuckDamageReduction","Stuck: Damage Reduction (fraction, body + FRONT stabs only) [v18 §2: 0.30]","0.3","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""30% damage reduction on body shots and front knife stabs"" while stuck. [ASSUMPTION] HEADSHOTS AND BACKSTABS ARE UNREDUCED, because the doc names body shots and front stabs specifically - the same reading, and the same shape of implementation, as Chut's Chud (ChudDamageReduction, applied in ModifyIncomingDamage off FTraceAbilityDamageContext's bHeadshot / bMelee). Copy Chud rather than inventing a second way to ... [allowed range: 0.0 to 1.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallHeightUU","Slimewall HEIGHT (uu, vertical) [v18 §2: 176 = one player height]","176","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SLIMEWALL, DIMENSION 1 of 3 - HEIGHT, straight up from the floor. §2: ""one player height tall"". A Trace pawn is a 34 x 88 capsule, so one player height is 176 uu, and that is the value here. §2 also says, of all three dimensions, ""(for now, make this changeable)"" - which is why there are three knobs rather than one hardcoded box. *** THE AXIS EACH KNOB MEANS IS AN [ASSUMPTION], and it is the one to check first if ... [allowed range: 20.0 to 3000.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallWidthUU","Slimewall WIDTH (uu, thickness along aim - what enemies walk through) [v18 §2: 176]","176","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SLIMEWALL, DIMENSION 2 of 3 - WIDTH, the THICKNESS along his aim direction. This is how far an enemy travels while inside the wall, so it is the knob that decides whether the 35% slow is felt at all. 176 uu is the doc's ""and wide"", read as one player height. [allowed range: 10.0 to 2000.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallLengthUU","Slimewall LENGTH (uu, span across aim - the part you hide behind) [v18 §2: ~1 cover block]","1100","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SLIMEWALL, DIMENSION 3 of 3 - LENGTH, the SPAN across his aim direction. §2: ""about the length of a standard in-game box"". The arena's one-player-height cover blocks are 1100 x 1100 (TraceArenaConstants::ApproachCover, entry D - the low diamond), so 1100 is what ""a standard in-game box"" measures on this map. It is a little over six player widths of cover. [allowed range: 50.0 to 5000.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallRangeUU","Slimewall: Placement Distance (uu)","400","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How far in front of him the wall goes up. Far enough to not be inside his own capsule. [allowed range: 0.0 to 5000.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallSlowFraction","Slimewall: Slow (fraction) [v18 §2: 0.35. CONTROL - see the §4 assumption]","0.35","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""moving through it slows enemies by 35%"". A CONTROL effect - so it goes through UTraceAbilityComponent::CanAffectTarget and does NOT apply to a Core carrier while the §4 [ASSUMPTION] stands, exactly like Oyster's poison slow. 0 leaves a wall that only blocks sight, which is the RED arm for any ""does it slow"" verification. [allowed range: 0.0 to 0.95]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallSlowLingerSeconds","Slimewall: Slow Lingers For (s, after leaving) [v18 §2 ASSUMPTION]","0.75","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","[ASSUMPTION] how long the slow lasts after leaving the slab. §2 does not say. IT CANNOT SENSIBLY BE ZERO. At 176 uu thick and 800 uu/s walk speed an enemy is inside the wall for 0.22 s; a slow that ended on the far side would be a rounding error nobody could feel, and the ability would read as broken rather than as weak. 0.75 s is long enough that walking through is a decision. [allowed range: 0.0 to 10.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallDurationSeconds","Slimewall Duration (s) [v18 §2: 4]","4","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""lasts 4 s"". [allowed range: 0.25 to 60.0]"
"Abilities - Slimeball","Abilities|Slimeball","SlimewallOpacity","Slimewall Opacity (LOOK ONLY - it never blocks bullets) [v18 §2]","0.9","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How solid the wall LOOKS. §2: it ""obstructs vision"". *** THIS IS APPEARANCE ONLY AND IT MUST STAY THAT WAY. *** §2 is explicit that the wall ""can be shot through"", so it must have no blocking collision on the weapon/trace channels - a wall that ate bullets would silently break every hitscan crossing it, including shots that never meant to involve Slimeball. Opacity is what makes it a sight blocker; collision is what ... [allowed range: 0.0 to 1.0]"
"Abilities - Slimeball","Abilities|Slimeball","bSlimewallSlowsOwnTeam","Slimewall Slows His Own Team Too [v18 §2 ASSUMPTION: false]","false","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2 [ASSUMPTION]: it does not slow Slimeball or his own team. On makes it a hazard for everyone."
"Abilities - Slimeball","Abilities|Slimeball","SlimewallCooldownSeconds","Slimewall Cooldown (s) [v18 §2: 25]","25","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","§2: ""25 s cooldown"". The card prints this too - Trace.VerifyCharacterData compares the pair. [allowed range: 0.0 to 180.0]"
